SubjID,TestSite,ExclReason,Included VSL2,Included LDT,Date,Sex,Age,Ethnicity,Race,handedness_score,read_for_pleasure,born_in_us,first_language,language_disability,spl_cor,spl_inc,spl_perc,vcb_cor,vcb_inc,vcb_perc,art_cor,art_inc,art_diff,TOWRE_rank,TOWRE_descriptor,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime_zscore,sensitivity,z_vcb,z_spl,z_art,Dim.1,Dim.2,lang_type_ortho,lang_type_semantic
119,Hampshire,NA,1,1,2017-12-08,Male,19,Not Hispanic or Latino,White,10,4-6 hours,Yes,English,No,61,19,76.25,43,7,86,49,17,32,NA,NA,24,8,24,8,32,0.75,0.25,1.11116447716051,-1.11116447716051,0.5,2.22232895432101,Sensitive,0.7528982512568541,-0.3325853573064961,1.422161196698271,1.145360262641003,-1.1035052331287138,Low Orthographic,High Semantic
120,Hampshire,NA,1,1,2017-12-10,Female,18,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,55,25,68.75,42,8,84,42,24,18,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,0.6209951467730952,-1.276070178452122,0.11713856724544937,-0.21604398903990937,-1.3543511971282451,Low Orthographic,Low Semantic
121,Hampshire,MissingDemo,1,1,2018-01-12,Male,21,NA,NA,NA,NA,NA,NA,NA,68,12,85,40,10,80,40,26,14,NA,NA,14,17,14,17,31,0.451612903225806,0.548387096774194,-0.876689776575092,0.876689776575091,-0.0967741935483871,-1.75337955315018,Insensitive,0.3571889378055776,0.7681469340300675,-0.25572504116964256,0.46359961781459713,0.6367966069713733,High Orthographic,High Semantic
122,Hampshire,NA,1,1,2018-01-26,Female,18,Hispanic or Latino,White,10,Not at all only for school,Yes,english,No,61,19,76.25,31,19,62,36,30,6,NA,NA,22,9,22,9,31,0.709677419354839,0.290322580645161,0.842535523952993,-0.842535523952993,0.41935483870967694,1.68507104790599,Sensitive,-0.8299390025482517,-0.3325853573064961,-1.0014522579998264,-1.284765437120367,0.39385534408488276,High Orthographic,Low Semantic
123,Hampshire,NA,1,1,2018-02-01,Female,18,Not Hispanic or Latino,White,7,4-6 hours,Yes,English,No,68,12,85,48,2,96,44,22,22,NA,NA,24,8,24,8,32,0.75,0.25,1.11116447716051,-1.11116447716051,0.5,2.22232895432101,Sensitive,1.4124137736756481,0.7681469340300675,0.4900021756605413,1.5576379968559162,-0.01927283047849592,Low Orthographic,High Semantic
124,Hampshire,NA,1,1,2018-02-02,Female,20,Not Hispanic or Latino,White,11,4-6 hours,Yes,English,No,64,16,80,48,2,96,50,16,34,NA,NA,14,18,14,18,32,0.4375,0.5625,-0.970709910197721,0.970709910197721,-0.125,-1.94141982039544,Insensitive,1.4124137736756481,0.13915705326631686,1.608593000905817,1.9060198876640426,-0.9988401668467475,Low Orthographic,High Semantic
125,Hampshire,NA,1,1,2018-03-01,Male,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,71,9,88.75,48,2,96,48,18,30,NA,NA,14,18,14,18,32,0.4375,0.5625,-0.970709910197721,0.970709910197721,-0.125,-1.94141982039544,Insensitive,1.4124137736756481,1.2398893446028805,1.235729392490725,2.2545057380633677,0.09216273196487278,High Orthographic,High Semantic
126,Hampshire,NA,1,1,2018-02-15,Female,18,Not Hispanic or Latino,White,9,1-3 hours,Yes,English,No,67,13,83.75,48,2,96,39,27,12,NA,NA,27,5,27,5,32,0.84375,0.15625,1.73572679336797,-1.73572679336797,0.6875,3.47145358673595,Sensitive,1.4124137736756481,0.6108994638391299,-0.44215684537718847,0.9120273477299419,0.21243058353689168,High Orthographic,High Semantic
127,Hampshire,NA,1,1,2018-04-10,Female,23,Hispanic or Latino,More than one race,10,Not at all only for school,Yes,English,No,66,14,82.5,32,18,64,50,16,34,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,-0.698035898064493,0.4536519936481922,1.608593000905817,0.7837163903478127,-0.00346342825241494,Low Orthographic,High Semantic
128,Hampshire,NA,1,1,2018-04-21,Male,18,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,70,10,87.5,43,7,86,49,17,32,NA,NA,31,1,31,1,32,0.96875,0.03125,2.56847654831126,-2.56847654831127,0.9375,5.13695309662253,Sensitive,0.7528982512568541,1.0826418744119428,1.422161196698271,1.883275261350115,0.11066960455360873,High Orthographic,High Semantic
129,Hampshire,NA,1,1,2018-07-17,Female,18,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,52,28,65,48,2,96,41,25,16,NA,NA,17,15,17,15,32,0.53125,0.46875,-0.346147593990253,0.346147593990253,0.0625,-0.692295187980506,Insensitive,1.4124137736756481,-1.747812589024935,-0.06929323696209659,-0.09238294596637137,-1.9578388376590152,Low Orthographic,Low Semantic
130,Hampshire,OverAge,0,0,2018-07-19,Female,39,Not Hispanic or Latino,White,7,1-3 hours,Yes,English,No,69,11,86.25,49,1,98,49,17,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.544316878159407,0.9253944042210052,1.422161196698271,2.283641433990671,-0.29632375124377497,Low Orthographic,High Semantic
131,Hampshire,NA,1,1,2018-07-20,Female,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,61,19,76.25,31,19,62,36,30,6,NA,NA,19,12,19,12,31,0.612903225806452,0.387096774193548,0.197826036254961,-0.197826036254962,0.225806451612903,0.395652072509923,Insensitive,-0.8299390025482517,-0.3325853573064961,-1.0014522579998264,-1.284765437120367,0.39385534408488276,High Orthographic,Low Semantic
132,Hampshire,OverAge,0,0,2018-07-23,Female,31,Not Hispanic or Latino,Asian,10,1-3 hours,Yes,English,No,66,14,82.5,33,17,66,43,23,20,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,-0.5661327935807341,0.4536519936481922,0.3035703714529953,0.07504104715720179,0.4644454860364868,High Orthographic,High Semantic
133,Hampshire,OverAge,0,0,2018-07-30,Female,48,Not Hispanic or Latino,White,11,6+ hours,Yes,English,No,78,2,97.5,49,1,98,62,4,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.544316878159407,2.340621635939444,3.8457746513963684,4.4869686763557945,-0.03533940977635381,Low Orthographic,High Semantic
134,Hampshire,NA,1,1,2018-08-01,Female,19,Not Hispanic or Latino,White,11,4-6 hours,Yes,english,No,71,9,88.75,46,4,92,49,17,32,NA,NA,18,13,18,13,31,0.580645161290323,0.41935483870967694,-0.0170771263110492,0.0170771263110492,0.161290322580645,-0.0341542526220983,Insensitive,1.1486075647081304,1.2398893446028805,1.422161196698271,2.2064441807885777,0.10953539960197077,High Orthographic,High Semantic
135,Hampshire,NA,1,1,2018-09-17,Female,20,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,76,4,95,41,9,82,41,25,16,NA,NA,13,19,13,19,32,0.40625,0.59375,-1.17889734893354,1.17889734893354,-0.1875,-2.35779469786709,Insensitive,0.4890920422893364,2.0261266955575685,-0.06929323696209659,1.3126408678631354,1.5973932767430836,High Orthographic,High Semantic
136,Hampshire,NA,1,1,2018-09-26,Female,19,Not Hispanic or Latino,White,6,1-3 hours,Yes,English,No,67,13,83.75,34,16,68,43,23,20,NA,NA,10,22,10,22,32,0.3125,0.6875,-1.80345966514101,1.80345966514101,-0.375,-3.60691933028202,Insensitive,-0.4342296890969753,0.6108994638391299,0.3035703714529953,0.2374243905781051,0.554006294584631,High Orthographic,High Semantic
137,Hampshire,EngNotNative,1,0,2018-09-27,Male,18,Not Hispanic or Latino,Asian,11,4-6 hours,No,Burmese,No,58,22,72.5,44,6,88,47,19,28,NA,NA,15,16,15,16,31,0.483870967741936,0.516129032258065,-0.661786614009081,0.661786614009081,-0.032258064516129,-1.32357322801816,Insensitive,0.8848013557406128,-0.804327767879309,1.0492975882831792,0.7543333469278721,-1.4069329940473432,Low Orthographic,High Semantic
138,Hampshire,NA,1,1,2018-10-04,Male,21,Not Hispanic or Latino,White,7,1-3 hours,Yes,English,No,61,19,76.25,44,6,88,45,21,24,NA,NA,19,13,19,13,32,0.59375,0.40625,0.0702272834813923,-0.0702272834813927,0.1875,0.140454566962785,Insensitive,0.8848013557406128,-0.3325853573064961,0.6764339798680872,0.7748569756787023,-0.8555633564278663,Low Orthographic,High Semantic
139,Hampshire,NA,1,1,2018-10-09,Female,21,Not Hispanic or Latino,White,10,1-3 hours,Yes,english,No,70,10,87.5,40,10,80,47,19,28,NA,NA,19,13,19,13,32,0.59375,0.40625,0.0702272834813923,-0.0702272834813927,0.1875,0.140454566962785,Insensitive,0.3571889378055776,1.0826418744119428,1.0492975882831792,1.4166488598382352,0.393356816528652,High Orthographic,High Semantic
140,Hampshire,NA,1,1,2018-10-10,Female,18,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,71,9,88.75,44,6,88,43,23,20,NA,NA,14,18,14,18,32,0.4375,0.5625,-0.970709910197721,0.970709910197721,-0.125,-1.94141982039544,Insensitive,0.8848013557406128,1.2398893446028805,0.3035703714529953,1.3693144923143976,0.6401644882778615,High Orthographic,High Semantic
141,Hampshire,NA,1,1,2018-10-17,Female,19,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,59,21,73.75,40,10,80,41,25,16,NA,NA,15,17,15,17,32,0.46875,0.53125,-0.762522471461898,0.762522471461898,-0.0625,-1.5250449429238,Insensitive,0.3571889378055776,-0.6470802976883714,-0.06929323696209659,-0.16159136215174486,-0.6507005765736342,Low Orthographic,Low Semantic
142,Hampshire,NA,1,1,2018-10-18,Male,25,Not Hispanic or Latino,White,9,6+ hours,Yes,English,No,60,20,75,49,1,98,44,22,22,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,1.544316878159407,-0.48983282749743373,0.4900021756605413,0.9821063415677083,-1.143886859612674,Low Orthographic,High Semantic
143,Hampshire,NA,1,1,2018-10-19,Male,23,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,55,25,68.75,30,20,60,39,27,12,NA,NA,16,15,16,15,31,0.516129032258065,0.483870967741936,-0.446883451443071,0.44688345144307,0.032258064516129,-0.893766902886141,Insensitive,-0.9618421070320106,-1.276070178452122,-0.44215684537718847,-1.5189295013735775,-0.5902140785414952,Low Orthographic,Low Semantic
144,Hampshire,NA,1,1,2018-10-24,Female,19,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,62,18,77.5,45,5,90,46,20,26,NA,NA,15,17,15,17,32,0.46875,0.53125,-0.762522471461898,0.762522471461898,-0.0625,-1.5250449429238,Insensitive,1.0167044602243716,-0.17533788711555845,0.8628657840756332,1.0499643378423758,-0.8393248937424066,Low Orthographic,High Semantic
145,Hampshire,NA,1,1,2018-10-25,Female,18,Not Hispanic or Latino,White,8,1-3 hours,Yes,English,No,61,19,76.25,36,14,72,38,28,10,NA,NA,16,16,16,16,32,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-0.17042348012945768,-0.3325853573064961,-0.6285886495847345,-0.6573534595909276,0.020473118610056917,High Orthographic,Low Semantic
146,Hampshire,NA,1,1,2018-10-29,Female,18,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,74,6,92.5,39,11,78,41,25,16,NA,NA,13,18,13,18,31,0.41935483870967694,0.580645161290323,-1.0915929391411,1.0915929391411,-0.161290322580645,-2.1831858782822,Insensitive,0.22528583332181876,1.7116317551756934,-0.06929323696209659,0.9878741810213286,1.418271659646795,High Orthographic,High Semantic
147,Hampshire,NA,1,1,2018-10-30,Female,18,Not Hispanic or Latino,White,6,1-3 hours,No,English,Yes,75,5,93.75,37,13,74,40,26,14,NA,NA,13,18,13,18,31,0.41935483870967694,0.580645161290323,-1.0915929391411,1.0915929391411,-0.161290322580645,-2.1831858782822,Insensitive,-0.038520375645698865,1.868879225366631,-0.25572504116964256,0.7963551416731226,1.717197334307298,High Orthographic,High Semantic
150,Hampshire,NA,1,1,2018-11-09,Female,18,Not Hispanic or Latino,White,11,NA,Yes,English,No,61,19,76.25,46,4,92,42,24,18,NA,NA,21,11,21,11,32,0.65625,0.34375,0.486602160953038,-0.486602160953038,0.3125,0.973204321906076,Insensitive,1.1486075647081304,-0.3325853573064961,0.11713856724544937,0.5974704954679513,-0.7262913323395946,Low Orthographic,High Semantic
153,Hampshire,NA,1,1,2018-11-14,Female,20,Not Hispanic or Latino,Black,10,4-6 hours,Yes,English,No,74,6,92.5,49,1,98,56,10,46,NA,NA,21,11,21,11,32,0.65625,0.34375,0.486602160953038,-0.486602160953038,0.3125,0.973204321906076,Insensitive,1.544316878159407,1.7116317551756934,2.7271838261510926,3.4826623422506797,-0.13503859579238842,Low Orthographic,High Semantic
154,Hampshire,NA,1,1,2018-11-28,Prefer not to say,19,Not Hispanic or Latino,White,11,Not at all only for school,Yes,English,No,76,4,95,44,6,88,39,27,12,NA,NA,21,11,21,11,32,0.65625,0.34375,0.486602160953038,-0.486602160953038,0.3125,0.973204321906076,Insensitive,0.8848013557406128,2.0261266955575685,-0.44215684537718847,1.328371194403935,1.6079954482187788,High Orthographic,High Semantic
155,Hampshire,NA,1,1,2018-12-04,Female,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,58,22,72.5,41,9,82,45,21,24,NA,NA,17,14,17,14,31,0.548387096774194,0.451612903225806,-0.23198028887706,0.231980288877059,0.0967741935483871,-0.46396057775412,Insensitive,0.4890920422893364,-0.804327767879309,0.6764339798680872,0.2877069454159922,-1.1242457820723,Low Orthographic,High Semantic
156,Hampshire,NA,1,1,2019-01-31,Male,20,Not Hispanic or Latino,White,10,Not at all only for school,Yes,English,No,63,17,78.75,34,16,68,38,28,10,NA,NA,16,15,16,15,31,0.516129032258065,0.483870967741936,-0.446883451443071,0.44688345144307,0.032258064516129,-0.893766902886141,Insensitive,-0.4342296890969753,-0.01809041692462079,-0.6285886495847345,-0.6541579247842402,0.3809847627059111,High Orthographic,Low Semantic
157,Hampshire,EngNotNative,1,0,2019-02-04,Female,21,Not Hispanic or Latino,White,10,1-3 hours,Yes,Ukrainian,Yes,60,20,75,37,13,74,41,25,16,NA,NA,12,20,12,20,32,0.375,0.625,-1.38708478766937,1.38708478766937,-0.25,-2.77416957533873,Insensitive,-0.038520375645698865,-0.48983282749743373,-0.06929323696209659,-0.32077917076596074,-0.37974974102592435,Low Orthographic,Low Semantic
158,Hampshire,NA,1,1,2019-02-05,Female,22,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,54,26,67.5,33,17,66,38,28,10,NA,NA,17,15,17,15,32,0.53125,0.46875,-0.346147593990253,0.346147593990253,0.0625,-0.692295187980506,Insensitive,-0.5661327935807341,-1.4333176486430597,-0.6285886495847345,-1.472465711502132,-0.7878425682265202,Low Orthographic,Low Semantic
159,Hampshire,NA,1,1,2019-02-19,Female,20,Not Hispanic or Latino,White,8,6+ hours,Yes,English,No,64,16,80,47,3,94,52,14,38,NA,NA,11,21,11,21,32,0.34375,0.65625,-1.59527222640519,1.59527222640519,-0.3125,-3.19054445281038,Insensitive,1.2805106691918893,0.13915705326631686,1.981456609320909,2.0510751371408036,-1.1001373518222255,Low Orthographic,High Semantic
160,Hampshire,NA,1,1,2019-02-21,Female,19,Not Hispanic or Latino,White,11,1-3 hours,Yes,english,No,61,19,76.25,40,10,80,44,22,22,NA,NA,11,21,11,21,32,0.34375,0.65625,-1.59527222640519,1.59527222640519,-0.3125,-3.19054445281038,Insensitive,0.3571889378055776,-0.3325853573064961,0.4900021756605413,0.3405618049008128,-0.6008509835656165,Low Orthographic,High Semantic
163,Hampshire,NA,1,1,2019-02-28,Male,22,Not Hispanic or Latino,White,6,1-3 hours,Yes,english,No,58,22,72.5,44,6,88,49,17,32,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,0.8848013557406128,-0.804327767879309,1.422161196698271,0.9797813844134123,-1.5535776857727124,Low Orthographic,High Semantic
165,Hampshire,MissingEEG,0,0,2019-03-05,Male,19,Not Hispanic or Latino,White,9,6+ hours,Yes,English,No,54,26,67.5,33,17,66,40,26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5661327935807341,-1.4333176486430597,-0.25572504116964256,-1.2470176740165915,-0.9344872599518896,Low Orthographic,Low Semantic
167,Hampshire,NA,1,1,2019-03-21,Female,19,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,57,23,71.25,33,17,66,41,25,16,NA,NA,27,5,27,5,32,0.84375,0.15625,1.73572679336797,-1.73572679336797,0.6875,3.47145358673595,Sensitive,-0.5661327935807341,-0.9615752380702467,-0.06929323696209659,-0.8883219890374507,-0.6030846599204667,Low Orthographic,Low Semantic
168,Hampshire,NA,1,1,2019-03-25,Female,21,Not Hispanic or Latino,White,5,1-3 hours,Yes,English,No,66,14,82.5,41,9,82,44,22,22,NA,NA,17,15,17,15,32,0.53125,0.46875,-0.346147593990253,0.346147593990253,0.0625,-0.692295187980506,Insensitive,0.4890920422893364,0.4536519936481922,0.4900021756605413,0.8309073699702104,0.02834308617467153,High Orthographic,High Semantic
169,Hampshire,NA,1,1,2019-03-26,Female,20,Not Hispanic or Latino,White,5,1-3 hours,Yes,English,No,66,14,82.5,44,6,88,43,23,20,NA,NA,24,8,24,8,32,0.75,0.25,1.11116447716051,-1.11116447716051,0.5,2.22232895432101,Sensitive,0.8848013557406128,0.4536519936481922,0.3035703714529953,0.9593617152537799,-0.03437708821231767,Low Orthographic,High Semantic
170,Hampshire,NA,1,1,2019-04-02,Female,19,Not Hispanic or Latino,White,11,Not at all only for school,Yes,English,No,63,17,78.75,42,8,84,43,23,20,NA,NA,26,6,26,6,32,0.8125,0.1875,1.52753935463215,-1.52753935463215,0.625,3.0550787092643,Sensitive,0.6209951467730952,-0.01809041692462079,0.3035703714529953,0.5526044729998495,-0.34840702060664275,Low Orthographic,High Semantic
171,Hampshire,NA,1,1,2019-04-09,Female,22,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,62,18,77.5,48,2,96,37,29,8,NA,NA,21,11,21,11,32,0.65625,0.34375,0.486602160953038,-0.486602160953038,0.3125,0.973204321906076,Insensitive,1.4124137736756481,-0.17533788711555845,-0.8150204537922804,0.27662653318378383,-0.3154663012279183,Low Orthographic,High Semantic
172,Hampshire,NA,1,1,2019-04-11,Male,19,Not Hispanic or Latino,White,10,Not at all only for school,Yes,english,No,55,25,68.75,40,10,80,44,22,22,NA,NA,9,23,9,23,32,0.28125,0.71875,-2.01164710387683,2.01164710387683,-0.4375,-4.02329420775367,Insensitive,0.3571889378055776,-1.276070178452122,0.4900021756605413,-0.15138152757192863,-1.4103008753538318,Low Orthographic,Low Semantic
173,Hampshire,NA,1,1,2019-04-23,Female,20,Not Hispanic or Latino,White,9,1-3 hours,Yes,English,No,60,20,75,46,4,92,44,22,22,NA,NA,15,17,15,17,32,0.46875,0.53125,-0.762522471461898,0.762522471461898,-0.0625,-1.5250449429238,Insensitive,1.1486075647081304,-0.48983282749743373,0.4900021756605413,0.7409279775413681,-1.007844339363,Low Orthographic,High Semantic
174,Hampshire,NA,1,1,2019-04-23,Female,20,Not Hispanic or Latino,White,11,4-6 hours,Yes,English,No,69,11,86.25,42,8,84,48,18,30,NA,NA,22,10,22,10,32,0.6875,0.3125,0.69478959968886,-0.694789599688861,0.375,1.38957919937772,Sensitive,0.6209951467730952,0.9253944042210052,1.235729392490725,1.6081678991864417,0.09443114186814891,High Orthographic,High Semantic
175,Hampshire,NA,1,1,2019-04-25,Male,19,Not Hispanic or Latino,Black,11,Not at all only for school,Yes,English,No,62,18,77.5,41,9,82,38,28,10,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,0.4890920422893364,-0.17533788711555845,-0.6285886495847345,-0.17339896413490488,-0.07135609984136371,Low Orthographic,Low Semantic
