ITI,cond_trig,cresp,targ_type,target,word_trig
250,204,z,NW_L_COMP,STIRANCE,1
350,205,z,NW_S_SIMP,ACREMANT,16
300,207,/,FILL_W,IRON,33
200,201,/,CW_S,LISTENER,18
350,201,/,CW_S,BEARDED,8
250,204,z,NW_L_COMP,BREAKITY,23
400,208,z,FILL_NW,ULNS,45
350,207,/,FILL_W,WEIRD,2
400,207,/,FILL_W,CRUNCH,20
350,202,/,CW_L,KICKING,23
250,207,/,FILL_W,SOFT,43
300,202,/,CW_L,MADNESS,41
250,201,/,CW_S,COSTLY,36
350,202,/,CW_L,JUMPING,30
250,201,/,CW_S,AWARENESS,44
300,202,/,CW_L,WEEDY,48
350,202,/,CW_L,RENTER,9
400,202,/,CW_L,CLEANER,15
250,203,z,NW_S_COMP,TREASONIZE,14
300,206,z,NW_L_SIMP,BANDADY,3
300,208,z,FILL_NW,SCURE,41
300,205,z,NW_S_SIMP,TILTADY,17
400,202,/,CW_L,FAITHFUL,20
200,202,/,CW_L,BOOTLESS,32
200,208,z,FILL_NW,GAIRS,23
250,207,/,FILL_W,SLIM,6
200,201,/,CW_S,BOLDNESS,41
250,208,z,FILL_NW,PLAODS,37
250,207,/,FILL_W,FIERCE,24
400,202,/,CW_L,COOLING,24
300,202,/,CW_L,KNOCKER,4
200,203,z,NW_S_COMP,FANFUL,6
400,208,z,FILL_NW,DROES,17
250,201,/,CW_S,GRIMLY,31
350,208,z,FILL_NW,BLANTH,3
300,208,z,FILL_NW,TREMP,20
250,201,/,CW_S,NOTICEABLE,3
200,208,z,FILL_NW,PORDS,39
250,202,/,CW_L,DREAMER,12
400,205,z,NW_S_SIMP,RAMPIME,6
350,203,z,NW_S_COMP,WELDIC,21
400,205,z,NW_S_SIMP,MEDICALADY,18
300,205,z,NW_S_SIMP,YIELDILT,20
350,204,z,NW_L_COMP,INKISM,8
250,208,z,FILL_NW,LOLDS,34
400,201,/,CW_S,AVOIDABLE,2
200,208,z,FILL_NW,BROUPS,4
200,207,/,FILL_W,WRECK,13
250,207,/,FILL_W,TREAT,48
300,207,/,FILL_W,BOX,42
350,201,/,CW_S,RICHNESS,45
350,202,/,CW_L,BOMBER,7
250,208,z,FILL_NW,DOWED,16
200,207,/,FILL_W,GOLF,28
300,206,z,NW_L_SIMP,LONGNELS,17
250,201,/,CW_S,PLANNER,22
400,207,/,FILL_W,FLIRT,1
400,201,/,CW_S,ALLOWANCE,5
400,202,/,CW_L,LOCKER,8
200,204,z,NW_L_COMP,PITCHORY,25
350,202,/,CW_L,SWIMMER,5
300,206,z,NW_L_SIMP,TAXFIL,6
400,204,z,NW_L_COMP,FLITENCE,3
200,207,/,FILL_W,SAVE,46
300,201,/,CW_S,DETECTABLE,1
200,203,z,NW_S_COMP,ELMIST,10
250,204,z,NW_L_COMP,FREENESS,15
350,206,z,NW_L_SIMP,NUTLA,14
350,203,z,NW_S_COMP,HEIGHTENCE,18
300,205,z,NW_S_SIMP,BOLTOES,13
400,202,/,CW_L,BLINDNESS,40
350,203,z,NW_S_COMP,EJECTENCE,20
250,203,z,NW_S_COMP,LIDARY,3
350,202,/,CW_L,PARKING,25
200,201,/,CW_S,AMUSEMENT,38
250,203,z,NW_S_COMP,BRANCHER,16
300,202,/,CW_L,HEATER,16
400,205,z,NW_S_SIMP,URNILT,5
200,208,z,FILL_NW,DARM,11
400,208,z,FILL_NW,HEND,28
350,207,/,FILL_W,LEAK,9
200,203,z,NW_S_COMP,DUMBITY,12
200,207,/,FILL_W,FLOAT,30
250,201,/,CW_S,MOSSY,47
300,207,/,FILL_W,MOURN,26
400,205,z,NW_S_SIMP,ADVERTISELA,25
250,208,z,FILL_NW,BUWL,9
200,201,/,CW_S,CAMPAIGNER,15
200,204,z,NW_L_COMP,GASFUL,6
200,208,z,FILL_NW,VUNKS,49
400,204,z,NW_L_COMP,PASSMENT,14
400,201,/,CW_S,DIETARY,6
350,203,z,NW_S_COMP,FIENDISM,24
400,202,/,CW_L,CLOUDLESS,33
200,207,/,FILL_W,TAX,45
300,202,/,CW_L,DAMPISH,28
350,201,/,CW_S,CHILLY,48
300,204,z,NW_L_COMP,KINGISM,19
200,202,/,CW_L,VERBAL,50
300,205,z,NW_S_SIMP,HELMETOES,14
350,207,/,FILL_W,FOLLOW,17
400,201,/,CW_S,EFFORTLESS,30
250,201,/,CW_S,HUGELY,35
250,207,/,FILL_W,SMOKE,50
250,202,/,CW_L,DANCER,11
350,202,/,CW_L,GUARDING,26
350,207,/,FILL_W,BRISK,8
300,206,z,NW_L_SIMP,ELBOWILM,10
250,205,z,NW_S_SIMP,ZOOMFIL,19
350,208,z,FILL_NW,DOADS,15
350,201,/,CW_S,SINGER,17
350,202,/,CW_L,GUILELESS,31
300,205,z,NW_S_SIMP,WARNODY,12
400,208,z,FILL_NW,BALFS,2
400,208,z,FILL_NW,SOISE,43
400,203,z,NW_S_COMP,ARIDISM,9
300,202,/,CW_L,COMPOSER,6
350,208,z,FILL_NW,DASP,13
250,204,z,NW_L_COMP,MUDLY,12
300,201,/,CW_S,DESTROYER,14
200,207,/,FILL_W,STALK,27
400,204,z,NW_L_COMP,RIPENCE,4
200,207,/,FILL_W,TEST,47
250,206,z,NW_L_SIMP,DRESSODY,21
200,205,z,NW_S_SIMP,JAWLA,7
350,206,z,NW_L_SIMP,WIGITH,9
250,201,/,CW_S,JAILER,13
300,206,z,NW_L_SIMP,BEANITH,8
350,202,/,CW_L,EDITOR,45
250,202,/,CW_L,DEAFNESS,39
350,201,/,CW_S,TOASTER,10
350,208,z,FILL_NW,HEAS,26
400,206,z,NW_L_SIMP,CLASSOES,18
200,203,z,NW_S_COMP,YANKORY,23
400,208,z,FILL_NW,BUTE,5
350,207,/,FILL_W,FAINT,31
400,202,/,CW_L,DRYNESS,42
300,201,/,CW_S,ATTACKER,20
300,208,z,FILL_NW,VOOFS,48
200,205,z,NW_S_SIMP,GUMFIL,2
200,207,/,FILL_W,BLEAK,5
200,201,/,CW_S,THRUSTER,24
300,206,z,NW_L_SIMP,BEGENGE,4
300,205,z,NW_S_SIMP,FEVERIME,24
