ITI,cond_trig,cresp,targ_type,target,word_trig
400,201,/,CW_S,EFFORTLESS,30
400,202,/,CW_L,DRYNESS,42
350,201,/,CW_S,BOSSY,49
400,208,z,FILL_NW,FROES,21
400,204,z,NW_L_COMP,COLDIDY,10
250,202,/,CW_L,DANCER,11
400,202,/,CW_L,CONDUCTOR,44
200,207,/,FILL_W,STALK,27
300,207,/,FILL_W,BALD,3
400,208,z,FILL_NW,VELT,46
200,205,z,NW_S_SIMP,NULLISH,23
200,202,/,CW_L,COLLECTOR,46
300,205,z,NW_S_SIMP,NEXTNESS,9
300,204,z,NW_L_COMP,BINDIG,22
200,202,/,CW_L,SAILOR,43
200,204,z,NW_L_COMP,PITCHODY,25
350,201,/,CW_S,DULLNESS,43
400,205,z,NW_S_SIMP,AIDIC,4
300,204,z,NW_L_COMP,ADDMANT,13
200,201,/,CW_S,BOLDNESS,41
200,201,/,CW_S,LOCALLY,37
350,203,z,NW_S_COMP,DEBTITH,22
400,205,z,NW_S_SIMP,RAMPIZE,6
200,203,z,NW_S_COMP,DUMBIDY,12
300,201,/,CW_S,ATTACKER,20
250,201,/,CW_S,JAILER,13
300,205,z,NW_S_SIMP,BOLTOUS,13
200,203,z,NW_S_COMP,ELMILT,10
400,205,z,NW_S_SIMP,URNIST,5
400,208,z,FILL_NW,GIKE,24
300,202,/,CW_L,DOUBTFUL,21
250,201,/,CW_S,MOSSY,47
350,206,z,NW_L_SIMP,WIGISH,9
250,202,/,CW_L,LAUGHING,27
200,205,z,NW_S_SIMP,THRILLANCE,22
300,207,/,FILL_W,SICK,36
250,207,/,FILL_W,SUIT,49
250,204,z,NW_L_COMP,MUDLA,12
200,203,z,NW_S_COMP,ANTILM,8
300,201,/,CW_S,DETECTABLE,1
400,202,/,CW_L,SPELLER,3
200,203,z,NW_S_COMP,MELTANGE,1
300,208,z,FILL_NW,HEEM,27
350,201,/,CW_S,LENDER,11
250,204,z,NW_L_COMP,STIRANGE,1
400,201,/,CW_S,AVOIDABLE,2
300,201,/,CW_S,DESTROYER,14
250,201,/,CW_S,PEAKING,28
300,207,/,FILL_W,BAKE,29
300,206,z,NW_L_SIMP,PRAYANCE,1
250,207,/,FILL_W,SHIP,37
400,201,/,CW_S,ALLOWANCE,5
350,202,/,CW_L,KICKING,23
400,202,/,CW_L,FAITHFUL,20
350,202,/,CW_L,HUNTER,10
350,204,z,NW_L_COMP,MOUTHIME,11
300,204,z,NW_L_COMP,IME,20
350,208,z,FILL_NW,DARF,10
250,207,/,FILL_W,SMOKE,50
200,205,z,NW_S_SIMP,JAWLY,7
250,202,/,CW_L,DREAMER,12
200,207,/,FILL_W,OLD,44
300,202,/,CW_L,COMPOSER,6
250,203,z,NW_S_COMP,LIDADY,3
400,201,/,CW_S,WIDOWED,7
400,202,/,CW_L,CLEANER,15
400,202,/,CW_L,LOCKER,8
250,206,z,NW_L_SIMP,SHOOTMENT,16
350,204,z,NW_L_COMP,INKILM,8
200,207,/,FILL_W,BLEAK,5
250,208,z,FILL_NW,POLT,38
250,208,z,FILL_NW,DOWED,16
300,208,z,FILL_NW,TREMP,20
350,202,/,CW_L,PUNCHER,1
400,208,z,FILL_NW,DROES,17
200,208,z,FILL_NW,FROT,22
200,208,z,FILL_NW,GAIRS,23
400,208,z,FILL_NW,BALFS,2
400,201,/,CW_S,RAIDER,12
300,206,z,NW_L_SIMP,ELBOWISM,10
400,208,z,FILL_NW,HEND,28
400,206,z,NW_L_SIMP,BOGARY,2
300,205,z,NW_S_SIMP,TILTARY,17
250,207,/,FILL_W,TREAT,48
350,202,/,CW_L,EDITOR,45
200,208,z,FILL_NW,DARM,11
300,208,z,FILL_NW,DASK,12
350,208,z,FILL_NW,KRAISE,33
400,207,/,FILL_W,CHIP,11
250,207,/,FILL_W,FIERCE,24
350,207,/,FILL_W,BRISK,8
350,203,z,NW_S_COMP,PRINCEMANT,17
350,202,/,CW_L,RENTER,9
250,203,z,NW_S_COMP,BEEREL,5
200,208,z,FILL_NW,BLAYS,8
300,202,/,CW_L,MADNESS,41
300,202,/,CW_L,HEATER,16
400,207,/,FILL_W,EAT,25
400,204,z,NW_L_COMP,PASSMANT,14
300,208,z,FILL_NW,KEMT,32
400,201,/,CW_S,DIETARY,6
200,203,z,NW_S_COMP,HAPPENANGE,2
200,206,z,NW_L_SIMP,TOWERLY,15
200,203,z,NW_S_COMP,PILLIME,13
300,203,z,NW_S_COMP,CURTIDY,11
350,205,z,NW_S_SIMP,BASKORY,10
250,202,/,CW_L,EXCITEMENT,38
350,207,/,FILL_W,FOLLOW,17
300,206,z,NW_L_SIMP,BANDARY,3
250,201,/,CW_S,NOTICEABLE,3
200,207,/,FILL_W,BRASS,10
250,201,/,CW_S,MILDNESS,42
250,207,/,FILL_W,SOUGHT,40
400,202,/,CW_L,WRONGLY,37
350,201,/,CW_S,NEATLY,33
200,208,z,FILL_NW,FALONS,19
300,202,/,CW_L,KNOCKER,4
400,204,z,NW_L_COMP,ANGELITH,7
200,202,/,CW_L,VERBAL,50
350,208,z,FILL_NW,HEAS,26
300,204,z,NW_L_COMP,KINGILM,19
400,206,z,NW_L_SIMP,POORITY,13
350,204,z,NW_L_COMP,AGREELA,24
200,204,z,NW_L_COMP,GASFIL,6
300,201,/,CW_S,RISKY,50
400,201,/,CW_S,DESIGN,19
350,202,/,CW_L,GUARDING,26
350,207,/,FILL_W,WEIRD,2
300,204,z,NW_L_COMP,EMPLOYNELS,21
300,208,z,FILL_NW,DULKS,18
200,207,/,FILL_W,LEGAL,35
300,208,z,FILL_NW,SCURE,41
200,208,z,FILL_NW,VUNKS,49
350,206,z,NW_L_SIMP,WITCHISH,11
300,206,z,NW_L_SIMP,BEANISH,8
250,206,z,NW_L_SIMP,SMOOTHFUL,19
200,207,/,FILL_W,SAVE,46
400,206,z,NW_L_SIMP,CLASSOUS,18
250,201,/,CW_S,GRIMLY,31
350,207,/,FILL_W,LEAK,9
350,208,z,FILL_NW,BLANTH,3
350,207,/,FILL_W,GLOOM,14
400,203,z,NW_S_COMP,TRUENELS,15
300,206,z,NW_L_SIMP,EARIST,12
250,201,/,CW_S,TUTORING,27
300,208,z,FILL_NW,BAFED,1
250,207,/,FILL_W,COOK,38
300,206,z,NW_L_SIMP,LONGNESS,17
350,201,/,CW_S,AMAZEMENT,39
250,207,/,FILL_W,PACK,41
300,207,/,FILL_W,BLUNT,4
300,201,/,CW_S,GUILTY,34
200,208,z,FILL_NW,PORDS,39
350,201,/,CW_S,TEACHER,23
200,205,z,NW_S_SIMP,GUMFUL,2
300,205,z,NW_S_SIMP,WINKITY,21
300,202,/,CW_L,PROFESSOR,47
350,201,/,CW_S,SINGER,17
350,201,/,CW_S,BEARDED,8
250,202,/,CW_L,PUSHER,13
300,205,z,NW_S_SIMP,HELMETOUS,14
400,205,z,NW_S_SIMP,ADVERTISELY,25
300,208,z,FILL_NW,VOOFS,48
250,207,/,FILL_W,SLIM,6
250,208,z,FILL_NW,BUWL,9
300,206,z,NW_L_SIMP,BEGENCE,4
200,208,z,FILL_NW,TUEER,44
400,203,z,NW_S_COMP,ARIDILM,9
400,204,z,NW_L_COMP,FLITENGE,3
350,208,z,FILL_NW,DELP,14
250,202,/,CW_L,STRIKER,17
