ITI,cond_trig,cresp,targ_type,target,word_trig
200,207,/,FILL_W,BRASS,10
350,208,z,FILL_NW,KRAISE,33
350,202,/,CW_L,FEEDER,14
250,203,z,NW_S_COMP,LIDARY,3
400,206,z,NW_L_SIMP,CLASSOES,18
350,204,z,NW_L_COMP,AGREELY,24
200,207,/,FILL_W,FLOAT,30
200,208,z,FILL_NW,GILN,25
400,204,z,NW_L_COMP,RIPENCE,4
400,208,z,FILL_NW,BALFS,2
250,201,/,CW_S,TUTORING,27
300,207,/,FILL_W,IRON,33
200,207,/,FILL_W,STALK,27
350,204,z,NW_L_COMP,INKISM,8
400,202,/,CW_L,LOCKER,8
200,206,z,NW_L_SIMP,TOWERLA,15
250,207,/,FILL_W,SOFT,43
400,206,z,NW_L_SIMP,BLOODEL,24
250,201,/,CW_S,TOSSING,26
200,207,/,FILL_W,TAX,45
350,201,/,CW_S,STRANGENESS,46
200,208,z,FILL_NW,PUCTS,40
200,203,z,NW_S_COMP,HAPPENANCE,2
250,202,/,CW_L,DREAMER,12
300,205,z,NW_S_SIMP,NEXTNELS,9
300,203,z,NW_S_COMP,CURTITY,11
200,203,z,NW_S_COMP,DUMBITY,12
300,201,/,CW_S,ATTACKER,20
400,203,z,NW_S_COMP,ALTARIC,7
200,201,/,CW_S,AMUSEMENT,38
400,203,z,NW_S_COMP,TRUENESS,15
350,207,/,FILL_W,LIFT,39
200,202,/,CW_L,SAILOR,43
250,203,z,NW_S_COMP,TREASONIZE,14
400,202,/,CW_L,CONDUCTOR,44
350,208,z,FILL_NW,DOADS,15
400,201,/,CW_S,RAIDER,12
200,203,z,NW_S_COMP,YANKORY,23
350,201,/,CW_S,BEARDED,8
400,208,z,FILL_NW,DROES,17
350,201,/,CW_S,TEACHER,23
200,207,/,FILL_W,LEGAL,35
300,202,/,CW_L,WEEDY,48
400,208,z,FILL_NW,GIKE,24
200,205,z,NW_S_SIMP,THRILLANGE,22
250,202,/,CW_L,STRIKER,17
250,208,z,FILL_NW,PLAODS,37
250,207,/,FILL_W,SLIM,6
400,202,/,CW_L,COOLING,24
400,201,/,CW_S,DESIGN,19
400,205,z,NW_S_SIMP,ADVERTISELA,25
250,201,/,CW_S,MILDNESS,42
200,208,z,FILL_NW,VUNKS,49
300,204,z,NW_L_COMP,FELLOWOUS,17
250,207,/,FILL_W,COOK,38
400,208,z,FILL_NW,VELT,46
350,202,/,CW_L,PUNCHER,1
300,202,/,CW_L,DOUBTFUL,21
400,204,z,NW_L_COMP,COLDITY,10
200,208,z,FILL_NW,HOITS,30
300,207,/,FILL_W,BLUNT,4
300,204,z,NW_L_COMP,SHEETER,5
400,201,/,CW_S,ALLOWANCE,5
350,201,/,CW_S,RICHNESS,45
200,208,z,FILL_NW,TUEER,44
350,201,/,CW_S,DENSELY,32
400,204,z,NW_L_COMP,ANGELISH,7
200,205,z,NW_S_SIMP,NULLITH,23
400,206,z,NW_L_SIMP,POORIDY,13
250,207,/,FILL_W,FIERCE,24
350,202,/,CW_L,RENTER,9
400,201,/,CW_S,EFFORTLESS,30
300,205,z,NW_S_SIMP,HELMETOES,14
400,202,/,CW_L,CLOUDLESS,33
400,208,z,FILL_NW,BUTE,5
250,201,/,CW_S,PLANNER,22
350,207,/,FILL_W,FOLLOW,17
400,207,/,FILL_W,LITHE,23
250,207,/,FILL_W,SUIT,49
400,207,/,FILL_W,QUIT,21
200,202,/,CW_L,BOOTLESS,32
350,208,z,FILL_NW,DASP,13
200,203,z,NW_S_COMP,ANTISM,8
300,206,z,NW_L_SIMP,BEANITH,8
300,203,z,NW_S_COMP,FIGER,4
250,204,z,NW_L_COMP,MUDLY,12
250,202,/,CW_L,PUSHER,13
400,207,/,FILL_W,DRUNK,19
250,207,/,FILL_W,SMOKE,50
250,208,z,FILL_NW,LOLDS,34
300,205,z,NW_S_SIMP,HEIRIG,3
300,201,/,CW_S,RISKY,50
250,207,/,FILL_W,SPLICE,22
250,202,/,CW_L,LAUGHING,27
400,202,/,CW_L,WRONGLY,37
200,202,/,CW_L,COLLECTOR,46
300,204,z,NW_L_COMP,ADDMENT,13
200,205,z,NW_S_SIMP,JAWLA,7
350,201,/,CW_S,DULLNESS,43
350,202,/,CW_L,GUILELESS,31
300,207,/,FILL_W,MOURN,26
350,206,z,NW_L_SIMP,PICKENGE,5
400,204,z,NW_L_COMP,PASSMENT,14
400,202,/,CW_L,CLEANER,15
300,206,z,NW_L_SIMP,PRAYANGE,1
300,206,z,NW_L_SIMP,ELBOWILM,10
250,202,/,CW_L,CREAMY,49
200,207,/,FILL_W,TEST,47
200,208,z,FILL_NW,FALONS,19
350,203,z,NW_S_COMP,HEIGHTENCE,18
200,208,z,FILL_NW,CINDS,6
300,207,/,FILL_W,SICK,36
300,201,/,CW_S,DETECTABLE,1
300,208,z,FILL_NW,KEMT,32
300,206,z,NW_L_SIMP,BEGENGE,4
300,207,/,FILL_W,BOX,42
350,202,/,CW_L,EDITOR,45
300,201,/,CW_S,INSISTENT,9
300,202,/,CW_L,DAMPISH,28
350,201,/,CW_S,AMAZEMENT,39
300,204,z,NW_L_COMP,NORTHIZE,20
300,208,z,FILL_NW,DULKS,18
250,201,/,CW_S,SEEKER,16
300,204,z,NW_L_COMP,BINDIC,22
350,207,/,FILL_W,FAINT,31
350,201,/,CW_S,NEATLY,33
400,208,z,FILL_NW,SOISE,43
400,207,/,FILL_W,EAT,25
250,201,/,CW_S,HARMLESS,29
350,206,z,NW_L_SIMP,WIGITH,9
350,202,/,CW_L,SWIMMER,5
300,207,/,FILL_W,BAKE,29
400,202,/,CW_L,QUIETLY,36
300,205,z,NW_S_SIMP,WINKIDY,21
350,204,z,NW_L_COMP,MOUTHIZE,11
250,203,z,NW_S_COMP,BRANCHER,16
300,202,/,CW_L,COMPOSER,6
350,203,z,NW_S_COMP,DEBTISH,22
300,201,/,CW_S,GUILTY,34
200,201,/,CW_S,LISTENER,18
400,208,z,FILL_NW,BORMS,50
400,207,/,FILL_W,CHIP,11
200,202,/,CW_L,SHAMEFUL,19
200,208,z,FILL_NW,GAIRS,23
350,202,/,CW_L,HUNTER,10
250,206,z,NW_L_SIMP,SHOOTMANT,16
250,206,z,NW_L_SIMP,SMOOTHFIL,19
250,207,/,FILL_W,TASTE,34
400,208,z,FILL_NW,ULNS,45
300,202,/,CW_L,PROFESSOR,47
300,208,z,FILL_NW,SCURE,41
250,201,/,CW_S,JAILER,13
350,208,z,FILL_NW,HEAS,26
400,208,z,FILL_NW,HEND,28
300,202,/,CW_L,MADNESS,41
250,201,/,CW_S,MOSSY,47
200,201,/,CW_S,ANGELIC,25
200,204,z,NW_L_COMP,GASFUL,6
200,206,z,NW_L_SIMP,GROWILT,20
350,203,z,NW_S_COMP,EJECTENCE,20
350,207,/,FILL_W,LEAK,9
300,201,/,CW_S,DESTROYER,14
200,201,/,CW_S,CAMPAIGNER,15
200,207,/,FILL_W,BLEAK,5
300,205,z,NW_S_SIMP,YIELDILT,20
250,207,/,FILL_W,TREAT,48
300,206,z,NW_L_SIMP,TAXFIL,6
350,207,/,FILL_W,GLOOM,14
200,208,z,FILL_NW,BROUPS,4
300,202,/,CW_L,HEATER,16
350,207,/,FILL_W,BRISK,8
