SubjID,cw_target,cw_response_time,cw_famsize,cw_LogBf
S103,kicking,726,L,6.92
S103,planner,606,S,8.61
S103,destroyer,413,S,7.55
S103,quietly,478,L,7.9
S103,guilty,684,S,7.36
S103,dancer,660,L,7.6
S103,magical,612,S,6.92
S103,guileless,804,L,4.11
S103,locally,560,S,8.41
S103,cloudless,901,L,7.07
S103,listener,490,S,8.03
S103,raider,575,S,6.22
S104,locker,502,L,7.41
S104,guarding,566,L,7.62
S104,neatly,481,S,6.83
S104,quietly,530,L,7.9
S104,chilly,524,S,6.19
S104,hugely,932,S,7.56
S104,bossy,485,S,6.31
S104,shameful,614,L,6.9
S104,painter,510,L,8.21
S104,cleaner,580,L,7.96
S104,peaking,694,S,6.3
S104,shapely,631,L,7.55
S104,dampish,657,L,6.43
S104,blindness,534,L,6.93
S104,barker,657,L,5.96
S104,allowance,697,S,8.52
S104,wrongly,587,L,8.17
S104,flexible,538,L,6.5
S104,tossing,569,S,6.01
S104,buyer,659,S,8.39
S104,bomber,629,L,7.1
S104,cooling,805,L,7.27
S104,mildness,888,S,6.52
S104,puncher,548,L,5.78
S104,conductor,635,L,6.99
S104,speller,640,L,6.66
S104,campaigner,772,S,7.6
S104,risky,518,S,7.51
S104,renter,610,L,7.43
S104,weedy,557,L,6.59
S104,effortless,572,S,7.81
S104,guilty,753,S,7.36
S104,pusher,639,L,7.83
S104,insistent,984,S,7.4
S104,madness,705,L,7.17
S104,mossy,548,S,5
S104,creamy,516,L,6.67
S104,feeder,680,L,7.94
S104,amusement,628,S,6.75
S104,attacker,628,S,8.13
S104,collector,688,L,8.08
S104,angelic,734,S,6.34
S104,striker,688,L,8.14
S104,enjoyment,542,S,7.93
S104,verbal,667,L,6.05
S104,jailer,718,S,6.52
S104,destroyer,563,S,7.55
S104,editor,653,L,7.17
S104,toaster,604,S,5.83
S104,professor,427,L,8.18
S104,doubtful,686,L,8.33
S104,jumping,579,L,7.24
S104,avoidable,547,S,7.68
S104,costly,40490,S,8.35
S104,richness,619,S,7.96
S104,guileless,914,L,4.11
S104,excitement,642,L,7.56
S104,detectable,693,S,6.89
S104,composer,692,L,7.08
S104,stylish,638,L,7.66
S104,tutoring,759,S,6.212606096
S104,dullness,583,S,6.56
S104,cloudless,560,L,7.07
S104,design,531,S,8.1
S104,laughing,602,L,8.34
S104,dreamer,583,L,7.75
S104,densely,706,S,6.48
S104,raider,995,S,6.22
S104,strangeness,766,S,7.98
S104,heater,819,L,7.97
S104,listener,651,S,8.03
S104,amazement,628,S,6.78
S104,boneless,993,L,7.31
S104,singer,628,S,7.69
S104,grimly,496,S,6.31
S104,bearded,525,S,6.36
S104,hunter,486,L,7.47
S104,sailor,635,L,6.61
S104,magical,526,S,6.92
S104,dietary,729,S,7.07
S104,dancer,420,L,7.6
S104,boldness,541,S,5.94
S104,faithful,600,L,7.19
S104,seeker,547,S,7.68
S104,thruster,866,S,6.37
S104,parking,651,L,7.57
S104,lender,564,S,6.22
S104,kicking,569,L,6.92
S104,harmless,662,S,7
S104,awareness,628,S,7.78
S104,noticeable,636,S,8.14
S104,planner,537,S,8.61
S104,widowed,774,S,6.21
S104,deafness,668,L,5.67
S104,dryness,617,L,7.77
S104,locally,653,S,8.41
S104,knocker,564,L,7.01
S104,swimmer,558,L,7.04
S104,teacher,474,S,8.64
S104,bootless,439,L,6.85
S105,cleaner,762,L,7.96
S105,stylish,420,L,7.66
S105,amazement,525,S,6.78
S105,madness,407,L,7.17
S105,composer,498,L,7.08
S105,jumping,432,L,7.24
S105,bomber,527,L,7.1
S105,thruster,448,S,6.37
S105,costly,609,S,8.35
S105,pusher,548,L,7.83
S105,heater,395,L,7.97
S105,richness,492,S,7.96
S105,noticeable,447,S,8.14
S105,sailor,477,L,6.61
S105,neatly,487,S,6.83
S105,magical,524,S,6.92
S105,flexible,436,L,6.5
S105,knocker,448,L,7.01
S105,jailer,575,S,6.52
S105,dietary,774,S,7.07
S105,bootless,904,L,6.85
S105,hunter,568,L,7.47
S105,allowance,680,S,8.52
S105,teacher,521,S,8.64
S105,campaigner,528,S,7.6
S105,peaking,737,S,6.3
S105,mossy,24964,S,5
S105,dreamer,394,L,7.75
S105,guileless,722,L,4.11
S105,deafness,697,L,5.67
S105,strangeness,465,S,7.98
S105,angelic,545,S,6.34
S105,densely,628,S,6.48
S105,bearded,590,S,6.36
S105,buyer,457,S,8.39
S105,insistent,797,S,7.4
S105,guarding,624,L,7.62
S105,chilly,492,S,6.19
S105,cooling,629,L,7.27
S105,seeker,493,S,7.68
S105,blindness,568,L,6.93
S105,lender,487,S,6.22
S105,painter,435,L,8.21
S105,barker,445,L,5.96
S105,puncher,528,L,5.78
S105,dullness,625,S,6.56
S105,parking,660,L,7.57
S105,shameful,577,L,6.9
S105,dryness,685,L,7.77
S105,enjoyment,657,S,7.93
S105,faithful,407,L,7.19
S105,mildness,628,S,6.52
S105,collector,489,L,8.08
S105,amusement,392,S,6.75
S105,toaster,511,S,5.83
S105,speller,609,L,6.66
S105,bossy,624,S,6.31
S105,tossing,754,S,6.01
S105,guilty,531,S,7.36
S105,swimmer,590,L,7.04
S105,quietly,509,L,7.9
S105,design,554,S,8.1
S105,locally,531,S,8.41
S105,cloudless,775,L,7.07
S105,locker,657,L,7.41
S105,professor,437,L,8.18
S105,dancer,374,L,7.6
S105,attacker,530,S,8.13
S105,editor,498,L,7.17
S105,grimly,657,S,6.31
S105,verbal,489,L,6.05
S105,widowed,524,S,6.21
S105,weedy,801,L,6.59
S105,striker,581,L,8.14
S105,risky,432,S,7.51
S105,wrongly,42045,L,8.17
S105,creamy,435,L,6.67
S105,kicking,459,L,6.92
S105,conductor,423,L,6.99
S105,listener,470,S,8.03
S105,singer,346,S,7.69
S105,awareness,555,S,7.78
S105,feeder,447,L,7.94
S105,raider,563,S,6.22
S105,excitement,460,L,7.56
S105,harmless,676,S,7
S105,doubtful,490,L,8.33
S105,renter,618,L,7.43
S105,shapely,521,L,7.55
S105,destroyer,516,S,7.55
S105,hugely,718,S,7.56
S105,planner,578,S,8.61
S105,laughing,565,L,8.34
S105,boneless,769,L,7.31
S105,tutoring,617,S,6.212606096
S105,detectable,646,S,6.89
S105,dampish,632,L,6.43
S105,avoidable,561,S,7.68
S105,effortless,619,S,7.81
S105,boldness,610,S,5.94
S106,puncher,994,L,5.78
S106,verbal,577,L,6.05
S106,locally,630,S,8.41
S106,neatly,664,S,6.83
S106,allowance,498,S,8.52
S106,peaking,628,S,6.3
S106,detectable,684,S,6.89
S106,mossy,444,S,5
S106,barker,526,L,5.96
S106,bootless,766,L,6.85
S106,speller,766,L,6.66
S106,tossing,585,S,6.01
S106,weedy,992,L,6.59
S106,grimly,524,S,6.31
S106,hunter,505,L,7.47
S106,excitement,625,L,7.56
S106,cleaner,481,L,7.96
S106,dryness,549,L,7.77
S106,conductor,531,L,6.99
S106,locker,531,L,7.41
S106,costly,525,S,8.35
S106,dreamer,680,L,7.75
S106,laughing,464,L,8.34
S106,deafness,468,L,5.67
S106,cooling,479,L,7.27
S106,swimmer,658,L,7.04
S106,guilty,503,S,7.36
S106,faithful,562,L,7.19
S106,design,57695,S,8.1
S106,bossy,548,S,6.31
S106,magical,475,S,6.92
S106,mildness,682,S,6.52
S106,jumping,421,L,7.24
S106,toaster,876,S,5.83
S106,planner,785,S,8.61
S106,heater,501,L,7.97
S106,flexible,892,L,6.5
S106,madness,536,L,7.17
S106,boldness,718,S,5.94
S106,jailer,706,S,6.52
S106,teacher,752,S,8.64
S106,effortless,758,S,7.81
S106,dampish,778,L,6.43
S106,singer,734,S,7.69
S106,amusement,743,S,6.75
S106,widowed,734,S,6.21
S106,kicking,508,L,6.92
S106,collector,817,L,8.08
S106,awareness,727,S,7.78
S106,pusher,847,L,7.83
S106,densely,572,S,6.48
S106,strangeness,655,S,7.98
S106,richness,780,S,7.96
S106,professor,694,L,8.18
S106,buyer,629,S,8.39
S106,boneless,726,L,7.31
S106,enjoyment,758,S,7.93
S106,doubtful,598,L,8.33
S106,avoidable,791,S,7.68
S106,dancer,498,L,7.6
S106,raider,769,S,6.22
S106,harmless,854,S,7
S106,dullness,679,S,6.56
S106,hugely,580,S,7.56
S106,wrongly,582,L,8.17
S106,angelic,551,S,6.34
S106,composer,690,L,7.08
S106,listener,788,S,8.03
S106,destroyer,539,S,7.55
S106,knocker,618,L,7.01
S106,guarding,535,L,7.62
S106,shapely,640,L,7.55
S106,sailor,718,L,6.61
S106,attacker,521,S,8.13
S106,thruster,767,S,6.37
S106,bomber,565,L,7.1
S106,campaigner,42686,S,7.6
S106,creamy,486,L,6.67
S106,dietary,576,S,7.07
S106,insistent,944,S,7.4
S106,cloudless,916,L,7.07
S106,chilly,577,S,6.19
S106,tutoring,594,S,6.212606096
S106,risky,534,S,7.51
S106,striker,647,L,8.14
S106,editor,570,L,7.17
S106,renter,576,L,7.43
S106,parking,990,L,7.57
S106,blindness,564,L,6.93
S106,shameful,589,L,6.9
S106,noticeable,696,S,8.14
S106,amazement,555,S,6.78
S106,feeder,818,L,7.94
S106,seeker,637,S,7.68
S106,quietly,523,L,7.9
S106,lender,860,S,6.22
S106,painter,485,L,8.21
S106,bearded,724,S,6.36
S106,stylish,735,L,7.66
S106,guileless,955,L,4.11
S107,dampish,519,L,6.43
S107,grimly,442,S,6.31
S107,shameful,571,L,6.9
S107,magical,351,S,6.92
S107,shapely,327,L,7.55
S107,costly,391,S,8.35
S107,allowance,444,S,8.52
S107,renter,319,L,7.43
S107,bossy,392,S,6.31
S107,teacher,298,S,8.64
S107,bootless,357,L,6.85
S107,composer,316,L,7.08
S107,harmless,397,S,7
S107,madness,302,L,7.17
S107,dancer,473,L,7.6
S107,noticeable,389,S,8.14
S107,attacker,484,S,8.13
S107,insistent,303,S,7.4
S107,angelic,517,S,6.34
S107,sailor,385,L,6.61
S107,tossing,392,S,6.01
S107,thruster,417,S,6.37
S107,dullness,467,S,6.56
S107,bomber,490,L,7.1
S107,dryness,379,L,7.77
S107,puncher,431,L,5.78
S107,guarding,452,L,7.62
S107,feeder,644,L,7.94
S107,hunter,430,L,7.47
S107,stylish,5961,L,7.66
S107,densely,546,S,6.48
S107,boldness,496,S,5.94
S107,peaking,428,S,6.3
S107,planner,421,S,8.61
S107,editor,518,L,7.17
S107,pusher,743,L,7.83
S107,jumping,433,L,7.24
S107,parking,440,L,7.57
S107,wrongly,487,L,8.17
S107,seeker,400,S,7.68
S107,enjoyment,461,S,7.93
S107,effortless,563,S,7.81
S107,bearded,445,S,6.36
S107,mildness,540,S,6.52
S107,toaster,421,S,5.83
S107,heater,381,L,7.97
S107,doubtful,442,L,8.33
S107,listener,615,S,8.03
S107,design,555,S,8.1
S107,dreamer,352,L,7.75
S107,hugely,528,S,7.56
S107,laughing,6500,L,8.34
S107,buyer,474,S,8.39
S107,excitement,482,L,7.56
S107,professor,410,L,8.18
S107,mossy,302,S,5
S107,locker,394,L,7.41
S107,cleaner,485,L,7.96
S107,conductor,450,L,6.99
S107,creamy,673,L,6.67
S107,raider,533,S,6.22
S107,locally,568,S,8.41
S107,boneless,528,L,7.31
S107,quietly,378,L,7.9
S107,kicking,461,L,6.92
S107,collector,345,L,8.08
S107,dietary,734,S,7.07
S107,knocker,439,L,7.01
S107,strangeness,541,S,7.98
S107,chilly,488,S,6.19
S107,richness,404,S,7.96
S107,risky,667,S,7.51
S107,blindness,992,L,6.93
S107,singer,892,S,7.69
S107,lender,578,S,6.22
S107,speller,491,L,6.66
S107,neatly,479,S,6.83
S107,painter,380,L,8.21
S107,avoidable,416,S,7.68
S107,campaigner,565,S,7.6
S107,destroyer,659,S,7.55
S107,amusement,630,S,6.75
S107,jailer,437,S,6.52
S107,cloudless,398,L,7.07
S107,guilty,635,S,7.36
S107,swimmer,504,L,7.04
S107,weedy,528,L,6.59
S107,awareness,414,S,7.78
S107,striker,499,L,8.14
S107,detectable,531,S,6.89
S107,barker,339,L,5.96
S107,deafness,520,L,5.67
S107,verbal,486,L,6.05
S107,tutoring,521,S,6.212606096
S107,guileless,535,L,4.11
S107,cooling,440,L,7.27
S107,faithful,385,L,7.19
S107,flexible,532,L,6.5
S107,widowed,657,S,6.21
S107,amazement,407,S,6.78
S108,insistent,632,S,7.4
S108,guarding,599,L,7.62
S108,stylish,673,L,7.66
S108,cloudless,937,L,7.07
S108,boneless,564,L,7.31
S108,mossy,519,S,5
S108,boldness,494,S,5.94
S108,widowed,602,S,6.21
S108,speller,595,L,6.66
S108,barker,636,L,5.96
S108,feeder,578,L,7.94
S108,hugely,625,S,7.56
S108,doubtful,611,L,8.33
S108,flexible,616,L,6.5
S108,shameful,602,L,6.9
S108,dryness,560,L,7.77
S108,parking,763,L,7.57
S108,bomber,461,L,7.1
S108,quietly,681,L,7.9
S108,thruster,691,S,6.37
S108,noticeable,505,S,8.14
S108,amazement,576,S,6.78
S108,allowance,556,S,8.52
S108,creamy,484,L,6.67
S108,toaster,509,S,5.83
S108,effortless,994,S,7.81
S108,shapely,992,L,7.55
S108,deafness,552,L,5.67
S108,weedy,611,L,6.59
S108,sailor,462,L,6.61
S108,enjoyment,472,S,7.93
S108,dietary,617,S,7.07
S108,teacher,990,S,8.64
S108,campaigner,713,S,7.6
S108,bearded,524,S,6.36
S108,locker,525,L,7.41
S108,raider,726,S,6.22
S108,planner,520,S,8.61
S108,buyer,388,S,8.39
S108,puncher,490,L,5.78
S108,jumping,833,L,7.24
S108,blindness,757,L,6.93
S108,composer,560,L,7.08
S108,editor,606,L,7.17
S108,laughing,438,L,8.34
S108,avoidable,482,S,7.68
S108,richness,504,S,7.96
S108,harmless,487,S,7
S108,verbal,466,L,6.05
S108,madness,423,L,7.17
S108,seeker,650,S,7.68
S108,detectable,579,S,6.89
S108,collector,794,L,8.08
S108,faithful,374,L,7.19
S108,striker,464,L,8.14
S108,painter,477,L,8.21
S108,kicking,393,L,6.92
S108,chilly,534,S,6.19
S108,tutoring,718,S,6.212606096
S108,guileless,847,L,4.11
S108,swimmer,532,L,7.04
S108,grimly,631,S,6.31
S108,dullness,825,S,6.56
S108,pusher,592,L,7.83
S108,angelic,631,S,6.34
S108,renter,523,L,7.43
S108,dampish,519,L,6.43
S108,bootless,517,L,6.85
S108,risky,781,S,7.51
S108,wrongly,995,L,8.17
S108,cooling,737,L,7.27
S108,guilty,624,S,7.36
S108,mildness,566,S,6.52
S108,destroyer,622,S,7.55
S108,densely,625,S,6.48
S108,costly,531,S,8.35
S108,amusement,606,S,6.75
S108,professor,569,L,8.18
S108,excitement,491,L,7.56
S108,singer,533,S,7.69
S108,cleaner,455,L,7.96
S108,tossing,798,S,6.01
S108,dancer,584,L,7.6
S108,neatly,522,S,6.83
S108,peaking,607,S,6.3
S108,hunter,528,L,7.47
S108,heater,459,L,7.97
S108,attacker,592,S,8.13
S108,bossy,494,S,6.31
S108,knocker,536,L,7.01
S108,jailer,517,S,6.52
S108,lender,633,S,6.22
S108,locally,505,S,8.41
S108,conductor,540,L,6.99
S108,magical,543,S,6.92
S108,awareness,497,S,7.78
S108,dreamer,579,L,7.75
S108,design,618,S,8.1
S108,listener,588,S,8.03
S108,strangeness,511,S,7.98
S109,peaking,565,S,6.3
S109,blindness,651,L,6.93
S109,design,497,S,8.1
S109,singer,693,S,7.69
S109,seeker,553,S,7.68
S109,dampish,652,L,6.43
S109,costly,875,S,8.35
S109,wrongly,581,L,8.17
S109,strangeness,692,S,7.98
S109,excitement,787,L,7.56
S109,bossy,697,S,6.31
S109,guilty,636,S,7.36
S109,composer,822,L,7.08
S109,bomber,713,L,7.1
S109,neatly,711,S,6.83
S109,painter,551,L,8.21
S109,amazement,988,S,6.78
S109,risky,582,S,7.51
S109,bearded,611,S,6.36
S109,stylish,555,L,7.66
S109,boneless,714,L,7.31
S109,flexible,533,L,6.5
S109,dancer,510,L,7.6
S109,lender,724,S,6.22
S109,pusher,649,L,7.83
S109,renter,507,L,7.43
S109,noticeable,874,S,8.14
S109,doubtful,885,L,8.33
S109,dietary,671,S,7.07
S109,raider,681,S,6.22
S109,editor,628,L,7.17
S109,conductor,683,L,6.99
S109,quietly,566,L,7.9
S109,grimly,989,S,6.31
S109,boldness,683,S,5.94
S109,planner,543,S,8.61
S109,puncher,988,L,5.78
S109,teacher,575,S,8.64
S109,mildness,784,S,6.52
S109,attacker,598,S,8.13
S109,laughing,696,L,8.34
S109,densely,514,S,6.48
S109,kicking,507,L,6.92
S109,bootless,800,L,6.85
S109,heater,599,L,7.97
S109,buyer,992,S,8.39
S109,tossing,722,S,6.01
S109,hunter,543,L,7.47
S109,parking,601,L,7.57
S109,professor,549,L,8.18
S109,jumping,467,L,7.24
S109,awareness,721,S,7.78
S109,amusement,688,S,6.75
S109,faithful,668,L,7.19
S109,listener,519,S,8.03
S109,verbal,670,L,6.05
S109,enjoyment,551,S,7.93
S109,striker,702,L,8.14
S109,harmless,603,S,7
S109,magical,853,S,6.92
S109,cooling,564,L,7.27
S109,insistent,935,S,7.4
S109,detectable,728,S,6.89
S109,knocker,543,L,7.01
S109,thruster,868,S,6.37
S109,widowed,520,S,6.21
S109,feeder,443,L,7.94
S109,campaigner,498,S,7.6
S109,guarding,706,L,7.62
S109,swimmer,605,L,7.04
S109,mossy,625,S,5
S109,speller,544,L,6.66
S109,sailor,547,L,6.61
S109,shapely,792,L,7.55
S109,locker,470,L,7.41
S109,chilly,602,S,6.19
S109,guileless,797,L,4.11
S109,jailer,619,S,6.52
S109,shameful,558,L,6.9
S109,effortless,741,S,7.81
S109,richness,630,S,7.96
S109,allowance,615,S,8.52
S109,dryness,557,L,7.77
S109,cleaner,601,L,7.96
S109,cloudless,542,L,7.07
S109,avoidable,671,S,7.68
S109,collector,577,L,8.08
S109,creamy,555,L,6.67
S109,tutoring,696,S,6.212606096
S109,destroyer,611,S,7.55
S109,madness,456,L,7.17
S109,locally,995,S,8.41
S109,hugely,652,S,7.56
S109,weedy,495,L,6.59
S109,deafness,994,L,5.67
S109,toaster,525,S,5.83
S109,angelic,993,S,6.34
S109,dreamer,557,L,7.75
S109,dullness,846,S,6.56
S109,barker,553,L,5.96
S11,tossing,997,S,6.01
S11,avoidable,808,S,7.68
S11,risky,640,S,7.51
S11,wrongly,468,L,8.17
S11,verbal,607,L,6.05
S11,mossy,574,S,5
S11,campaigner,545,S,7.6
S11,swimmer,490,L,7.04
S11,kicking,482,L,6.92
S11,puncher,694,L,5.78
S11,design,858,S,8.1
S11,feeder,945,L,7.94
S11,thruster,525,S,6.37
S11,excitement,496,L,7.56
S11,amusement,577,S,6.75
S11,harmless,974,S,7
S11,boldness,719,S,5.94
S11,buyer,623,S,8.39
S11,madness,526,L,7.17
S11,dietary,818,S,7.07
S11,collector,548,L,8.08
S11,bootless,943,L,6.85
S11,planner,628,S,8.61
S11,jumping,714,L,7.24
S11,composer,610,L,7.08
S11,painter,994,L,8.21
S11,toaster,573,S,5.83
S11,sailor,701,L,6.61
S11,boneless,652,L,7.31
S11,seeker,657,S,7.68
S11,densely,520,S,6.48
S11,renter,654,L,7.43
S11,raider,667,S,6.22
S11,professor,559,L,8.18
S11,heater,632,L,7.97
S11,doubtful,729,L,8.33
S11,awareness,539,S,7.78
S11,singer,590,S,7.69
S11,dryness,660,L,7.77
S11,creamy,738,L,6.67
S11,locally,880,S,8.41
S11,richness,905,S,7.96
S11,striker,524,L,8.14
S11,neatly,769,S,6.83
S11,dancer,34895,L,7.6
S11,teacher,391,S,8.64
S11,shameful,536,L,6.9
S11,widowed,497,S,6.21
S11,shapely,569,L,7.55
S11,tutoring,507,S,6.212606096
S11,jailer,995,S,6.52
S11,listener,609,S,8.03
S11,deafness,717,L,5.67
S11,lender,598,S,6.22
S11,strangeness,542,S,7.98
S11,peaking,673,S,6.3
S11,cooling,990,L,7.27
S11,detectable,803,S,6.89
S11,bomber,826,L,7.1
S11,locker,573,L,7.41
S11,stylish,692,L,7.66
S11,flexible,456,L,6.5
S11,laughing,814,L,8.34
S11,bearded,568,S,6.36
S11,knocker,815,L,7.01
S11,guileless,923,L,4.11
S11,allowance,725,S,8.52
S11,cloudless,818,L,7.07
S11,editor,552,L,7.17
S11,weedy,879,L,6.59
S11,amazement,664,S,6.78
S11,chilly,534,S,6.19
S11,hunter,994,L,7.47
S11,attacker,688,S,8.13
S11,parking,546,L,7.57
S11,grimly,732,S,6.31
S11,noticeable,918,S,8.14
S11,mildness,794,S,6.52
S11,angelic,714,S,6.34
S11,blindness,539,L,6.93
S11,magical,846,S,6.92
S11,dullness,991,S,6.56
S11,quietly,747,L,7.9
S11,dreamer,559,L,7.75
S11,barker,620,L,5.96
S11,cleaner,636,L,7.96
S11,faithful,619,L,7.19
S11,pusher,612,L,7.83
S11,insistent,796,S,7.4
S11,hugely,719,S,7.56
S11,guilty,944,S,7.36
S11,dampish,991,L,6.43
S11,effortless,666,S,7.81
S11,bossy,739,S,6.31
S11,conductor,841,L,6.99
S11,enjoyment,991,S,7.93
S11,destroyer,530,S,7.55
S11,speller,606,L,6.66
S11,costly,561,S,8.35
S11,guarding,692,L,7.62
S110,creamy,990,L,6.67
S110,mossy,715,S,5
S110,cooling,706,L,7.27
S110,bearded,690,S,6.36
S110,dullness,769,S,6.56
S110,professor,807,L,8.18
S110,feeder,708,L,7.94
S110,barker,692,L,5.96
S110,doubtful,615,L,8.33
S110,pusher,720,L,7.83
S110,dryness,711,L,7.77
S110,allowance,633,S,8.52
S110,laughing,677,L,8.34
S110,conductor,678,L,6.99
S110,dampish,703,L,6.43
S110,effortless,703,S,7.81
S110,bootless,550,L,6.85
S110,painter,641,L,8.21
S110,lender,687,S,6.22
S110,thruster,778,S,6.37
S110,harmless,738,S,7
S110,jailer,656,S,6.52
S110,densely,734,S,6.48
S110,cloudless,662,L,7.07
S110,shapely,525,L,7.55
S110,teacher,604,S,8.64
S110,destroyer,645,S,7.55
S110,weedy,865,L,6.59
S110,dietary,609,S,7.07
S110,boldness,695,S,5.94
S110,attacker,666,S,8.13
S110,kicking,646,L,6.92
S110,quietly,649,L,7.9
S110,blindness,625,L,6.93
S110,collector,620,L,8.08
S110,risky,606,S,7.51
S110,singer,563,S,7.69
